id,ma_thiet_bi,associated_with,loai_id,hang_san_xuat_id,so_dang_ky,so_giay_dang_kiem,nam_san_xuat,nam_su_dung,so_khung,so_may,dv_so_huu_id,dv_quan_ly_id,dv_thue_id,khu_vuc_id,model_id,ghi_chu,tag_1,last_modified_by_user_id
1,Q01,Q01,1,1,KE01,19MT-1510,2002,2002,213365,,2,1,1000,1,1000,,,
2,Q02,Q02,1,1,KE02,19MT-1504,2000,2000,,,2,8,1000,5,1000,,,
3,Q03,Q03,1,1,KE03,19MT-1503,2000,2000,,,2,16,1000,17,1000,,,
4,Q04,Q04,1,1,KE04,19MT-1502,2002,2002,213366,,2,1,1000,1,1000,,,
5,Q05,Q05,1,1,KE05,19MT-1515,2005,2005,213395,,2,1,1000,12,1000,,,
6,Q06,Q06,1,1,KE06,19MT-1509,2004,2004,213396,,2,1,1000,12,1000,,,
7,Q07,Q07,1,1,KE07,19MT-1508,2004,2004,213397,,2,1,1000,12,1000,,,
8,Q08,Q08,1,1,KE08,19MT-1559,2004,2004,213415,,2,1,1000,1,1000,,,
9,Q09,Q09,1,1,KE09,19MT-1560,2005,2005,213416,,2,1,1000,1,1000,,,
10,Q10,Q10,1,1,KE10,19MT-1561,2005,2005,213417,,2,1,1000,1,1000,,,
11,Q11,Q11,1,1,KE11,19MT-2136,2007,2007,,,2,1,1000,1,1000,,,
12,Q12,Q12,1,1,KE12,19MT-2137,2007,2007,,,2,1,1000,1,1000,,,
13,Q14,Q14,1,1,KE14,19MT-2138,2007,2007,,,2,1,1000,1,1000,,,
14,Q15,Q15,1,1,KE15,,2009,2009,,,4,1,1000,1,1000,,,
15,Q16,Q16,1,1,KE16,,2009,2009,,,4,1,1000,1,1000,,,
16,Q17,Q17,2,2,KOCK17,19MT-2916,2011,2011,,,3,3,1000,1,1000,,,
17,Q18,Q18,2,2,KOCK18,19MT-2915,2011,2011,,,3,1,1000,1,1000,,,
18,Q19,Q19,2,2,KOCK19,,2012,2012,,,4,1,1000,1,1000,,,
19,Q20,Q20,2,2,KOCK20,,2013,2013,,,29,1,1000,1,1000,,,
20,Q21,Q21,2,2,KOCK21,,2013,2013,,,29,1,1000,1,1000,,,
21,Q22,Q22,2,2,KOCK22,,2014,2014,,,29,1,1000,1,1000,,,
22,Q24,Q24,2,2,KOCK24,,2014,2014,,,17,1,1000,1,1000,,,
23,Q25,Q25,2,2,KOCK25,,2014,2014,,,17,1,1000,1,1000,,,
24,Q98,Q98,2,2,KOCK98,,2013,2013,,,36,36,1000,1,1000,,,
25,Q99,Q99,2,2,KOCK99,,2013,2013,,,36,36,1000,1,1000,,,
26,Q01_CM,Q01_CM,2,2,KOCK01,19MT-2406,2009,2009,71078,,11,12,1000,3,1000,,,
27,Q02_CM,Q02_CM,2,2,KOCK02,19MT-2409,2009,2009,71080,,11,12,1000,3,1000,,,
28,Q03_CM,Q03_CM,2,2,KOCK03,19MT-2335,2009,2009,71082,,11,12,1000,3,1000,,,
29,STS01,STS01,3,3,STS01,,,,,,12,12,1000,3,1000,,,
30,STS02,STS02,3,3,STS02,,,,,,12,12,1000,3,1000,,,
31,STS03,STS03,3,3,STS03,,,,,,12,12,1000,3,1000,,,
32,STS04,STS04,3,3,STS04,,,,,,12,12,1000,3,1000,,,
33,STS05,STS05,3,3,STS05,,,,,,12,12,1000,3,1000,,,
34,STS06,STS06,3,3,STS06,,,,,,12,12,1000,3,1000,,,
35,QIHI01,QIHI01,4,4,QCIHI01,,2013,2013,4497,,32,32,1000,3,1000,,,
36,QIHI02,QIHI02,4,4,QCIHI02,,2013,2013,4498,,32,32,1000,3,1000,,,
37,QIHI03,QIHI03,4,4,QCIHI03,,2013,2013,4499,,32,32,1000,3,1000,,,
38,QIHI04,QIHI04,4,4,QCIHI04,,2013,2013,4500,,32,32,1000,3,1000,,,
